시퀀스,아파트코드,아파트명,주소(시도),주소(시군구),주소(읍면동),홈페이지,사용검사일,연면적,관리비부과면적,전체세대수,사용신청일,사용승인일,정보변경일,사용허가여부,일반인원,경비인원,청소인원,건설사,시행사,준공일자,건축면적,아파트평형,층수,주차대수,단지소개,아파트시설,음용수,전기안전관리자,전기안전관리방법,화재수신반유무,홈네트워크-주차관제시스템,기타메모,예산지출액,회계관리현태,화재수신반위치,엘리베이터,경비실CCTV카메라수,경비실CCTV모니터수,택비방식,경비예산 지출액,경비근무형태,경비근무시간,경비휴게시간,홈네트워그,아파트청소구역,지하주차대수,음식물처리방식,청소기타구역,청소 연간예산 지출액,청소근무시간,청소근무일자,청소일근무시간,청소세대당청소인원,청소방법,소독면적,소독구역,소독년횟수,소독 년 예산 지출액,소독약품,엘리베이터 수,엘리베이터 계약방식,엘리베이터 설치년도 운행,엘리베이터 종류,엘리베이터 운행층,엘리베이터 관리형태,엘리베이터 년 예산지출,엘리베이터 수리비,엘리베이터 월수리건수,하자보수진행상태,수선유지충당금부고방식,수선유지충당금,수선유지충당메인 항목,수선유지대체금,전체동수,전화번호,팩스번호,급수시설,주소(나머지),아파트고유번호,우편번호,좌표X,좌표Y,관리사번호,주소(도로명),주소(도로 상세주소),법정동주소,단지분류,도로명주소,전용면적별 세대현황1,전용면적별 세대현황2,85_135이하,135초과,최초등록일자,최종등록일자,주거전용면적
702,A15807701,신정세양청마루,서울,양천구,신정동,,2006-07-12 00:00:00.0,44744,32883,326,2013-03-07 09:47:00.0,2018-04-12 17:09:25.0,2018-04-12 17:09:25.0,Y,15,6,4,세양건설,신정세양제1주택조합,,0.00,,15층,350,,"휴게시설, 주민운동시설, 주민공동시설, 주차장, 어린이놀이터(2개소), 자전거보관소(7개소)",2400,선임,상주,상주,유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,02-3414-2201,02-3414-2203,,래미안포레아파트,A13520001,06370,127.1026943,37.4817688,,밤고개로21길,25,서울특별시 강남구 자곡동 360 래미안포레,아파트,,714,306,50,,,2019-05-20 07:18:08.0,71731.72
499,A14319305,광진트라팰리스,서울,광진구,자양동,,2006-07-21 00:00:00.0,52666,47012,204,2013-03-07 09:46:32.0,2016-07-26 16:45:14.0,2016-07-26 16:45:14.0,Y,12,14,8,삼성물산,"재건축조합,환원건설",,1710.55,,29,452,"



","휘트니스센터, 독서실, 입주자대표회의실, 생활지원센터",1500,선임관리자1명,상주,상주,상주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,02-849-6655,02-849-6900,,가마산로 442,A10027755,07396,,,,신길로33길,,서울특별시 영등포구 신길동 329-94 래미안프레비뉴,아파트,서울특별시 영등포구 가마산로 442,397,535,17,,,2019-05-20 05:34:34.0,68860.86
1933,A14075201,용산파크자이,서울,용산구,한강로1가,ysparkxi.com,2005-12-23 00:00:00.0,148969,69727,310,2013-03-07 09:46:55.0,2018-01-16 15:42:32.0,2018-01-16 15:42:32.0,Y,21,28,25,GS건설,모건아담스코리아,2005-12-01 00:00:00.0,7248.07,68308.29,34|,595,"<p align=""center"">안녕하십니까?<br />저희 용산파크자이 홈페이지를 찾아주신 여러분께 감사드립니다.<br />모두들 아시다시피 새로운 고급 주거타운 으로 모두가 선망하는 떠오르는 용산 에서도 그 중심에 위치한 용산파크자이는 명품이라는 광고에 어울리는 독특한 분위기를 자아내며 그 가치를 대내외적으로 인정받고 있으며 명실상부한 최고의 주상복합건물로 발 돋음 하고 있습니다. </p><p align=""center"">또한 디지털 시대가 선도하여 창조한 삶의 공간에 꿈과 감동의 문화가 공유된 용산파크자이는 멀리서도 확연히 차별화된 외형과 규모임에도 불구하고 주변을 침해하지 않고 자연스럽게 어우러지는 조화를 이루어냄으로써 2007년 한국건축문화대상을 수상하였고 용산의 랜드마크로서의 위치도 확고히 하고 있습니다.</p><p align=""center"">이처럼 용산파크자이는 여러 가지 측면에서 특별한 건물로 많은 사람들의 관심과 선망의 대상이 되고 있는데 이런 용산파크자이를 소유하고, 거주하시는 입주민들께는 기쁨과 행복이, 용산파크자이에 관심을 가지시는 분들께는 꿈과 희망의 의미가 되길 바라며 이 홈페이지의 공간이 용산파크자이를 사랑하는 사람들의 정보교류의 장이 되고 어울림과 소통의 장이 되어 모두가 같이 가꾸고 꾸미는 우리의 동산이 되길 바랍니다.</p><p align=""center""><br />감사합니다.</p>","휘트니스센터, 골프장, 사우나",,선임,직원선임,관리,유/유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0226625457,0226625458,,마곡엠밸리11단지아파트,A10027371,07808,,,55880005010,공항대로,124,서울특별시 강서구 마곡동 746 마곡엠밸리11단지,아파트,서울특별시 강서구 공항대로 124,295,52,0,,,2019-05-20 04:22:27.0,22065.91
394,A13402204,강변그대가리버뷰,서울,강동구,천호2동,,2007-02-16 00:00:00.0,33231,25588,225,2013-03-07 09:46:32.0,2013-06-23 14:37:41.0,2013-06-23 14:37:41.0,Y,,4,2,임광토건(주),(주)디씨엠하우징,,0.00,,15층,265,,"휘트니스센터 1개소, 노인정",800,무,대행,유,무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,029749388,029749390,,한신코아빌라 관리사무소,,01790,,,,노원로15길,51-10,서울특별시 노원구 하계동 285 중계한신코아,연립주택,서울특별시 노원구 노원로15길 51-10,0,40,120,,2017-02-01 10:49:21.0,2019-05-20 02:10:20.0,17210.64
1602,A13082805,이문e-편한세상,서울,동대문구,이문3동,,2003-07-09 00:00:00.0,203682,142282,1378,2013-03-07 09:46:34.0,2013-06-13 15:40:54.0,2013-06-13 15:40:54.0,Y,11,23,14,대림산업(주),이문3구역주택재개발조합,2003-05-01 00:00:00.0,0.00,,23|,1616,꿈과 사랑이 있는 아파트 이문e편한세상에 오신것을 환영합니다.^^,"휘트니스센타, 어린이집",5100,선임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,02-577-4455,02-577-4554,,관리사무소,,06764,,,,태봉로2길,30,서울특별시 서초구 우면동 737 서초네이처힐6단지,아파트,서울특별시 서초구 태봉로2길 30,305,30,47,,2017-02-01 10:49:21.0,2019-05-20 06:25:35.0,24386.75
1554,A14319012,자양더샵스타시티,서울,광진구,자양3동,,2007-01-22 00:00:00.0,327563,234458,1177,2013-03-07 09:46:38.0,2014-12-17 10:55:15.0,2014-12-17 10:55:15.0,Y,30,38,32,posco,건국대학교,2007-01-01 00:00:00.0,16867.73,,35층|58,2810,,"휘트니스센타, 멀티미디어룸(dvd,노래방),연회장,생활문화지원실,입주자대표회의실,독서실,도서관,유아방,어린이공부방,경로당",9850,"선임 관리자 1명, 선임 관리원 1명",상주,관리,홈네트워크 설치세대에 한하여 입차통보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,02-3478-0878,02-3478-0879,,,,06598,,,,고무래로,89,서울특별시 서초구 반포동 1342 반포써밋,아파트,서울특별시 서초구 고무래로 89,275,343,146,,2018-11-02 01:41:49.0,2019-05-20 06:38:38.0,61343.5766
2032,A13771601,방배서리풀e편한세상,서울,서초구,방배동,방배서리풀.한국/,2010-08-26 00:00:00.0,99415,63009,496,2013-03-07 09:47:02.0,2015-02-05 10:12:19.0,2015-02-05 10:12:19.0,Y,5,6,7,대림산업(주),방배서리풀 재건축조합,,7357.34,,15층|,937,,"휘트니스센타, 골프장, 독서실",,선임,직원선임,,"유,유",,0,,,,,,,0,,,,,,,,,0,,,,,,0,,,0,,3,,,,,,0,0,,,,0,,0,1,02-476-4738,02-476-4739,,528,2128002767,134722,127.1346837,37.537813,11111111,성안로25길,15,서울특별시 강동구 천호동 528 천호삼성임대,아파트,서울특별시 강동구 성안로25길 15,247,0,0,,,2019-05-20 08:14:03.0,8143.59
1724,A13822001,잠실레이크팰리스,서울,송파구,잠실동,lakepalace.kr,2006-12-28 00:00:00.0,492205,336380,2678,2013-03-07 09:46:56.0,2013-05-16 17:33:54.0,2013-05-16 17:33:54.0,Y,21,43,38,"삼성, gs","삼성물산건설부문, GS건설",2006-12-01 00:00:00.0,17841.76,,32층|,4110,"



","휘트니스,어린이집,경로당",9800,선임,직원선임,"화재수신방(관리),승강기비상호출(비관리),cctv야간당직자(관리)","홈네트워크(유),주차관제시스템(유)",,0,,,,,,,0,,,,,,,,,0,,,,,,0,,,0,,10,,,,,,0,0,,,,0,,0,7,02-358-6512,02-358-6513,,"진관동,은평뉴타운 폭포동",110-80-12163,03310,126.9307251,37.631385,91817501431,진관1로,77-8,서울특별시 은평구 진관동 113번지 은평뉴타운폭포동4단지제1,아파트,서울특별시 은평구 진관1로 77-8,0,297,0,,,2019-05-20 02:49:23.0,25233.78
2168,A15606007,래미안트윈파크,서울,동작구,본동,,2011-11-04 00:00:00.0,80008,52126,523,2013-03-07 09:46:45.0,2013-05-14 13:20:00.0,2013-05-14 13:20:00.0,Y,7,7,9,삼성물산,본동5구역주택재개발정비사업조합,2011-11-01 00:00:00.0,3079.70,115.50|84.96|59.9|41.14|35.81,24|29,631,"<p>래미안트윈파크는</p><p>사육신묘와 배수지공원 사이에 위치하여 트윈파크라는 이름을 얻게되었으며</p><p>한강의 탁트인 조망권과 9호선 노들역 1번출구와 접하고 있어 </p><p>강남에 10분대로 접근이 용이하며 </p><p>커뮤니티(골프, 헬스, 독서실, 문고)와 한강 자전거길이 인접하여 </p><p>주민들 건강증진에 좋은 단지로?</p><p>동작구에서 최고의 아파트임을 자랑합니다.</p>","휘트니스,골프,어린이집,문고,독서실,샤워실,노인정,상가",,선임,대행위탁,,,,114972360,전산,기타(경비실),유,2대,23개소,택배 수령,25800000,"격일제,교대(24시간)","평일:07:00~익일07:00(24시간), 토:07:00~익일07:00(24시간), 휴일:07:00~익일07:00(24시간)","주간:12:00~13:00(1시간), 야간:24:00~02:00(2시간)",유,"건물내부(복도.계단), 논슬립, 대청소","수량:2개소, 면적:6494.51","1개소, 3회/주 ",-,21960000,"평일:09:00~16:00(6시간), 토:09:00~12:00(3시간)",,평일:12:00~13:00(1시간),109.5세대/명,"복도불걸래(2회/주),주차장청소(8회/월),옥상(1회/월)",7,,실내:12회. 실외:7회 ,2400000,,"12층용 1대, 18층용 1대, 20층용 3대",부분 단순(POG) 계약,15년,VVSR,전층운행,"쉬브/로프(1년), 브레이크(1년), 제어반(1년), 안전장치(1년), 안전장치(1년)",6139500,1369500,2건/월,10년차(종료),수선유비(정산),43025280,건축.살비.전기.소방.통신.조경,0,1,02469-2204,024692204,고가 수조 방식,33-2,218-80-00165,133819,127.0504495,37.5407018,218-80-00165-0,뚝섬로3길,6,서울특별시 성동구 성수동1가 33-2 성수현대그린,아파트,서울특별시 성동구 뚝섬로3길 6,51,168,0,,,2019-05-19 23:53:23.0,16594.11
1989,A13408003,고덕아이파크아파트,서울,강동구,고덕동,godukipark.com/admin,2011-12-28 00:00:00.0,229501,145199,1142,2013-03-07 09:46:57.0,2015-02-24 20:11:42.0,2015-02-24 20:11:42.0,Y,12,20,13,현대산업개발주식회사,고덕주공1단지아파트주택재건축정비사업조합,,0.00,,20|,2011,,휘트니스 외 다수 복리시설,6000,선임,직원선임,관리,유,,0,,경비실,유,16,,,0,격일제,,5,유,,,,,0,09:00 ~ 15:00,,12:00 ~ 13:00,,,0,,,0,,3,,,,,,0,0,,,,0,,0,1,02-2245-0091,02-2245-0165,고가수조방식,645-2,204-80-00491,130713,127.0462304,37.5749269,204-80-00491-0,서울시립대로,31,서울특별시 동대문구 전농동 645-3 전농동아임대,아파트,서울특별시 동대문구 서울시립대로 31,220,0,0,,,2019-05-20 00:15:43.0,7042.2
